grid_id,longitude,latitude,gold_label_strict,distance_to_nearest_deposit_km,distance_to_nearest_broad_gold_site_km,spatial_fold,Random Forest,XGBoost,final_ensemble_score,model_disagreement,final_rank,pre_gravity_rank,pre_gravity_score,rank_movement_after_gravity_reduction,final_tier
406,121.28192964232784,-29.568630973769302,0.0,23.10463996193021,15.178115074819674,3,0.2882272275827615,0.10331340879201889,0.19577031818739019,0.1849138187907426,42,55,0.3152905557854509,13,Lower
261,122.01173064183382,-30.28727991376212,0.0,29.22979593155328,7.885860941010093,2,0.2866627223886364,0.10336063802242279,0.1950116802055296,0.1833020843662136,43,61,0.2626694927834131,18,Lower
170,122.42875978440868,-30.73643550125763,0.0,26.65620266331785,10.004605714060943,0,0.22967890221551393,0.1585608422756195,0.1941198722455667,0.07111805993989442,44,67,0.2303955399925909,23,Lower
315,121.69895878490269,-30.017786561264813,0.0,15.209682814815933,15.209682814815933,2,0.24622942735060407,0.12986627221107483,0.18804784978083944,0.11636315513952925,45,70,0.2245424445549217,25,Lower
169,122.32450249876496,-30.73643550125763,0.0,19.546229113558702,13.478635127259516,0,0.27207916260401593,0.09761442244052887,0.1848467925222724,0.17446474016348706,46,49,0.3449681875480335,3,Lower
363,120.76064321410928,-29.748293208767507,0.0,17.74070826510308,14.790199790066676,3,0.3053271827564458,0.06433150172233582,0.18482934223939082,0.24099568103411,47,30,0.425450181978425,-17,Lower
382,120.76064321410928,-29.658462091268404,0.0,20.056324977153643,14.506873420166604,3,0.31243001501963713,0.056769877672195435,0.18459994634591628,0.2556601373474417,48,31,0.4201131081325455,-17,Lower
325,120.76064321410928,-29.92795544376571,0.0,17.412591713219847,11.968888846657682,3,0.3173847062077596,0.05036890506744385,0.18387680563760173,0.26701580114031576,49,32,0.4190017237690542,-17,Lower
171,120.55212864282186,-30.64660438375853,0.0,31.35079433913683,16.240891083159134,1,0.29021682475345884,0.06388188898563385,0.17704935686954634,0.22633493576782499,50,51,0.3276354226430683,1,Lower
417,122.42875978440868,-29.568630973769302,0.0,20.151597430354137,4.951829869954408,2,0.2896153785735627,0.06313890218734741,0.17637714038045504,0.22647647638621526,51,27,0.4381361527859621,-24,Lower
298,121.90747335619012,-30.10761767876392,0.0,20.56887116158095,6.225562579305993,2,0.19440257954086337,0.14729376137256622,0.1708481704567148,0.04710881816829715,52,91,0.1647013716423547,39,Lower
294,121.49044421361526,-30.10761767876392,0.0,20.873617177362146,17.26906032573903,2,0.23749004280726743,0.08430790156126022,0.16089897218426383,0.1531821412460072,53,73,0.2173916390145173,20,Lower
241,121.90747335619012,-30.377111031261222,0.0,20.86498269444385,3.773266352569397,2,0.22229496167848906,0.08365940302610397,0.15297718235229651,0.13863555865238508,54,58,0.2828351845552958,4,Lower
314,121.59470149925896,-30.017786561264813,0.0,18.306168941816995,18.306168941816995,2,0.2046292651712744,0.08863821625709534,0.14663374071418486,0.11599104891417905,55,75,0.20662575961661,20,Lower
168,122.22024521312125,-30.73643550125763,0.0,15.825115302850172,13.023948974733909,0,0.22908743804566115,0.06031034141778946,0.1446988897317253,0.1687770966278717,56,53,0.3244678479905558,-3,Lower
190,120.55212864282186,-30.556773266259427,0.0,24.35127718127187,12.602713618156418,1,0.25410058221949705,0.029644519090652466,0.14187255065507476,0.22445606312884459,57,37,0.4056723605734086,-20,Lower
344,120.76064321410928,-29.83812432626661,0.0,20.436046055117227,14.912646379600416,3,0.2482638227843617,0.03342367708683014,0.14084374993559592,0.21484014569753157,58,39,0.3949419632075124,-19,Lower
209,120.55212864282186,-30.466942148760324,0.0,20.066087147606734,10.99541561256338,1,0.25478974494006607,0.025466568768024445,0.14012815685404525,0.22932317617204162,59,34,0.4176136988069197,-25,Lower
